,Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,OverageMinutes,RoamingCalls,DroppedCalls,CustomerCareCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,CallForwardingCalls,CallWaitingCalls,MonthsInService,Age,CreditRating,PrizmCode,Occupation,MaritalStatus
90,Yes,27,0,27,0,0,0,0,0,0,0,0,0,0,0,49,40,1-Highest,Town,Other,Yes
91,No,96,545,60,111,1,3,0,38,12,1,52,40,0,0,53,17,1-Highest,Town,Other,Unknown
92,Yes,83,790,75,0,0,33,1,197,57,4,396,19,0,8,51,46,1-Highest,Suburban,Professional,Yes
93,No,30,219,30,0,0,1,2,12,6,0,40,25,0,0,51,56,1-Highest,Other,Other,Unknown
94,Yes,30,18,30,0,0,0,0,3,0,0,17,3,0,0,55,72,3-Good,Suburban,Other,Yes
95,No,108,1228,108,0,0,0,0,480,68,34,190,131,0,6,55,38,1-Highest,Other,Other,Yes
96,No,32,112,32,0,0,1,0,17,6,0,40,7,0,0,49,42,1-Highest,Other,Other,Yes
97,No,43,245,30,30,0,3,0,72,27,10,55,44,0,0,51,38,1-Highest,Other,Other,No
98,No,65,572,59,45,1,5,0,293,1,3,118,71,0,2,51,16,3-Good,Other,Other,Unknown
99,No,32,295,30,7,0,8,3,20,26,1,66,46,0,0,53,44,1-Highest,Other,Other,Yes
100,No,79,848,70,64,0,0,0,0,0,0,0,0,0,0,53,42,3-Good,Other,Other,No
101,Yes,90,1710,75,156,0,7,2,591,38,69,800,70,0,51,55,52,3-Good,Rural,Other,Yes
102,No,103,866,38,216,41,2,0,35,23,2,268,13,0,0,49,50,3-Good,Suburban,Professional,Yes
103,Yes,164,1410,75,0,0,24,0,201,48,5,456,25,0,11,51,54,3-Good,Other,Professional,Yes
104,Yes,117,490,70,140,0,11,1,103,26,13,142,31,0,2,51,30,6-VeryLow,Suburban,Other,Unknown
105,Yes,8,34,5,32,0,1,0,7,0,0,17,7,0,0,49,40,1-Highest,Other,Other,Unknown
106,No,41,71,40,0,1,0,0,17,1,0,16,2,0,0,53,46,1-Highest,Rural,Self,Yes
107,Yes,180,3559,150,99,0,3,0,1543,26,6,725,468,0,60,55,37,3-Good,Other,Other,Unknown
108,Yes,41,340,35,6,0,2,1,80,11,0,78,33,0,0,49,42,3-Good,Suburban,Other,No
109,No,46,287,30,62,0,3,3,48,17,1,98,19,0,0,55,39,7-Lowest,Other,Other,Unknown
110,Yes,13,0,10,0,0,0,0,0,0,0,0,0,0,0,55,38,1-Highest,Other,Other,No
111,Yes,44,3584,59,1094,0,39,1,732,147,55,650,126,0,20,51,50,1-Highest,Rural,Professional,Unknown
112,Yes,28,50,30,0,0,0,0,8,3,0,14,6,0,0,51,44,1-Highest,Suburban,Professional,Yes
113,No,50,485,50,8,0,2,1,144,25,6,170,29,0,1,53,42,4-Medium,Suburban,Professional,Yes
114,No,50,194,20,144,0,0,0,25,14,5,52,10,0,0,49,56,1-Highest,Suburban,Self,Yes
115,Yes,23,18,5,18,0,0,0,0,0,0,7,1,0,0,53,38,1-Highest,Suburban,Professional,Yes
116,Yes,77,501,45,97,0,11,1,77,12,0,55,50,0,0,53,54,4-Medium,Suburban,Self,No
117,No,166,3206,83,537,15,10,0,1513,116,34,603,433,0,44,49,30,1-Highest,Suburban,Homemaker,Yes
118,No,111,1161,105,32,0,2,0,402,35,5,444,58,0,12,55,62,1-Highest,Other,Other,Yes
119,Yes,111,143,107,0,0,5,0,8,57,4,82,3,0,0,53,49,2-High,Rural,Other,Unknown
120,No,81,149,74,50,0,2,0,33,4,10,44,9,0,0,53,50,1-Highest,Other,Other,Unknown
121,Yes,85,890,75,0,0,7,0,136,96,41,310,105,0,1,49,54,1-Highest,Suburban,Other,Yes
122,Yes,48,366,45,3,0,0,0,0,0,0,0,0,0,0,55,52,1-Highest,Other,Other,No
123,Yes,51,438,50,3,0,0,0,39,7,1,55,53,0,2,53,54,2-High,Suburban,Other,No
124,Yes,56,355,55,0,0,8,0,205,2,1,125,41,0,0,49,60,3-Good,Other,Crafts,No
125,No,87,699,80,0,2,6,1,272,72,30,246,88,0,5,55,32,4-Medium,Other,Other,No
126,Yes,48,366,45,3,0,0,0,0,0,0,0,0,0,0,49,74,1-Highest,Town,Other,Unknown
127,No,103,479,75,0,0,10,0,125,37,12,50,121,0,3,53,60,3-Good,Other,Other,No
128,Yes,124,594,102,0,0,2,2,91,10,1,80,34,0,1,51,52,5-Low,Suburban,Other,No
129,No,134,731,140,0,0,6,0,373,37,10,251,20,0,3,55,58,3-Good,Other,Other,Yes
130,No,75,2,75,0,0,0,0,0,2,0,2,0,0,0,55,64,1-Highest,Suburban,Other,Yes
131,No,34,399,32,0,0,1,0,79,15,0,114,15,0,0,51,64,1-Highest,Town,Professional,Yes
132,No,53,144,50,0,0,0,0,40,7,0,28,19,0,0,49,36,1-Highest,Suburban,Other,Unknown
133,Yes,135,2489,85,443,4,44,0,831,162,184,842,210,0,31,55,68,1-Highest,Rural,Other,Yes
134,No,94,1204,85,0,0,12,0,440,39,28,257,35,0,6,51,64,2-High,Other,Other,Unknown
135,No,83,838,85,0,0,7,0,88,50,8,208,58,0,1,51,50,1-Highest,Suburban,Other,Unknown
136,Yes,104,1250,75,0,4,50,0,399,4,0,288,6,0,9,48,46,1-Highest,Town,Other,Unknown
137,Yes,79,1086,75,6,0,15,0,470,60,25,253,104,0,0,51,40,1-Highest,Town,Professional,Yes
138,No,96,1027,50,238,0,8,0,541,24,6,300,77,0,0,53,62,1-Highest,Suburban,Professional,Yes
139,No,77,503,63,24,0,6,0,59,16,2,100,49,0,0,53,24,1-Highest,Suburban,Other,Unknown
140,No,50,432,50,6,0,1,0,30,12,1,58,11,0,0,55,54,2-High,Suburban,Self,Yes
141,Yes,63,415,45,88,1,4,0,105,10,0,120,26,0,0,50,56,3-Good,Suburban,Other,Yes
142,No,121,1333,75,229,0,16,3,403,56,76,389,112,0,16,54,48,3-Good,Rural,Other,Yes
143,Yes,125,1104,60,250,0,2,6,265,28,10,143,40,0,5,54,36,1-Highest,Suburban,Other,Yes
144,Yes,316,3148,75,1306,0,17,5,789,77,14,471,149,0,37,50,44,1-Highest,Other,Other,Yes
145,Yes,112,1107,83,0,0,2,0,294,78,17,367,178,0,8,50,42,6-VeryLow,Other,Other,Unknown
146,No,20,12,20,0,0,0,0,3,0,0,0,3,0,0,54,46,1-Highest,Town,Professional,Yes
147,No,49,772,60,0,0,3,0,358,8,1,79,30,0,1,52,32,4-Medium,Rural,Other,No
148,No,83,1130,75,30,0,3,2,430,52,23,268,67,0,7,48,33,1-Highest,Town,Other,Unknown
149,Yes,29,46,30,0,0,0,3,1,0,0,7,4,0,0,52,50,1-Highest,Suburban,Clerical,No
150,No,53,478,60,0,0,5,0,87,40,28,171,21,0,1,48,48,1-Highest,Town,Other,Yes
151,No,76,1262,75,1,0,5,1,366,67,32,207,263,0,9,48,38,3-Good,Town,Clerical,Yes
152,Yes,10,0,10,0,0,0,0,0,0,0,0,0,0,0,54,56,1-Highest,Other,Other,Yes
153,No,161,2746,75,532,0,5,0,1365,27,32,683,153,0,40,48,38,2-High,Suburban,Other,No
154,No,92,1622,75,0,0,8,0,567,75,43,307,125,0,0,48,28,1-Highest,Other,Clerical,No
155,No,98,1684,75,198,0,2,0,754,60,52,180,123,0,11,50,72,1-Highest,Suburban,Other,Unknown
156,No,35,307,35,0,0,1,0,0,0,0,10,47,0,0,48,60,1-Highest,Rural,Other,Unknown
157,No,105,1206,75,0,0,8,0,28,56,3,432,108,0,4,50,42,4-Medium,Suburban,Clerical,No
158,Yes,47,430,50,0,0,0,0,130,13,0,150,23,0,1,54,60,1-Highest,Town,Professional,Yes
159,No,105,1611,93,47,0,25,4,613,98,90,570,127,0,39,48,60,1-Highest,Other,Professional,Yes
160,No,51,409,50,0,0,2,3,59,20,3,117,24,0,0,50,54,1-Highest,Other,Other,Yes
161,No,529,5863,202,1565,0,7,5,1666,343,141,1355,417,0,126,52,34,1-Highest,Other,Other,No
162,No,76,1461,75,0,0,8,1,378,69,13,232,139,0,3,48,54,1-Highest,Other,Other,No
163,No,80,1270,87,0,0,3,2,572,37,3,195,142,0,6,52,42,1-Highest,Other,Other,Yes
164,No,99,1239,85,52,0,12,0,498,74,20,341,238,0,0,50,50,3-Good,Other,Crafts,Yes
165,No,104,1122,87,0,4,6,2,243,79,18,206,71,0,0,48,48,1-Highest,Rural,Other,Unknown
166,Yes,35,78,20,38,0,0,0,17,0,2,9,5,0,0,48,42,1-Highest,Suburban,Other,Yes
167,No,32,362,32,2,0,2,0,80,30,2,91,30,0,0,48,46,1-Highest,Suburban,Professional,Yes
168,No,74,457,80,32,1,2,1,67,10,6,84,57,0,1,52,58,1-Highest,Suburban,Other,Yes
169,No,77,1051,50,264,0,3,0,589,26,0,358,62,0,0,52,54,3-Good,Other,Professional,No
170,Yes,23,5,20,0,0,1,2,0,2,0,4,0,0,0,50,32,1-Highest,Other,Other,No
171,Yes,77,866,75,0,0,0,1,218,16,5,99,166,0,6,48,42,3-Good,Rural,Other,No
172,No,111,767,75,0,0,8,0,154,35,0,170,81,0,0,48,60,1-Highest,Other,Other,Unknown
173,No,78,130,75,0,0,0,0,55,4,0,55,10,0,0,52,58,5-Low,Town,Other,Unknown
174,Yes,63,439,30,90,0,5,1,115,11,0,93,52,0,0,50,38,6-VeryLow,Other,Other,Unknown
175,Yes,38,214,30,0,0,1,0,6,4,0,64,8,0,0,48,52,3-Good,Town,Other,Unknown
176,No,79,1149,85,0,0,7,4,341,74,64,362,418,0,10,54,50,5-Low,Other,Other,Yes
177,No,90,1560,75,69,0,31,0,332,44,24,492,66,0,1,48,48,1-Highest,Other,Self,No
178,No,145,1134,150,0,0,6,0,241,148,22,341,100,0,8,50,88,1-Highest,Suburban,Other,No
179,No,51,764,70,4,0,2,3,256,37,6,161,76,0,2,48,50,4-Medium,Other,Other,Yes
180,No,87,1066,75,50,0,1,0,341,27,2,239,79,0,4,50,44,1-Highest,Suburban,Other,Yes
181,No,129,1388,95,98,0,6,0,154,156,14,372,114,0,2,48,38,1-Highest,Other,Other,No
182,No,67,698,49,158,0,0,3,307,6,27,78,45,0,0,54,22,3-Good,Town,Other,Unknown
183,Yes,64,311,70,0,0,6,0,93,34,6,70,37,0,0,48,52,1-Highest,Suburban,Other,Unknown
184,No,99,1112,60,247,0,16,4,506,37,56,165,134,0,8,48,52,3-Good,Suburban,Other,Yes
185,Yes,10,6,10,0,0,0,0,0,0,0,0,0,0,0,54,40,1-Highest,Other,Other,No
186,No,68,378,60,0,0,5,1,77,24,6,61,76,0,2,48,26,4-Medium,Town,Other,Unknown
187,No,49,173,48,0,0,0,0,39,5,0,52,14,0,0,50,27,3-Good,Other,Other,Unknown
188,No,74,585,81,0,0,5,0,181,18,5,101,33,0,1,52,32,3-Good,Suburban,Other,No
189,No,20,16,20,0,0,0,0,0,0,0,1,1,0,0,50,30,1-Highest,Other,Crafts,Yes
190,No,83,1141,75,0,0,9,0,449,14,1,173,175,0,2,52,54,3-Good,Suburban,Other,Yes
191,No,96,1028,85,0,1,16,1,282,53,5,328,71,0,3,50,48,3-Good,Other,Other,Unknown
192,No,95,1592,75,7,0,21,3,275,141,5,598,150,0,15,52,52,4-Medium,Other,Other,Unknown
193,No,112,2311,80,96,0,11,7,359,48,18,827,216,0,13,50,38,3-Good,Suburban,Other,No
194,Yes,86,414,75,0,0,7,0,118,24,0,136,45,0,1,48,40,5-Low,Suburban,Professional,No
195,No,65,889,57,33,0,8,0,217,104,0,205,165,0,0,54,36,3-Good,Other,Professional,Yes
196,Yes,38,162,38,0,0,0,0,27,14,2,40,11,0,0,52,48,1-Highest,Town,Professional,Yes
197,No,79,1130,75,0,0,11,0,620,26,12,249,141,0,3,52,40,1-Highest,Suburban,Other,Unknown
198,Yes,50,256,50,0,0,6,0,38,15,0,66,14,0,2,52,44,1-Highest,Suburban,Other,No
199,No,51,202,24,37,0,4,0,103,9,0,86,9,0,0,54,62,1-Highest,Suburban,Other,Yes
200,No,134,2058,75,353,0,10,0,772,47,59,286,46,0,21,48,48,1-Highest,Other,Professional,No
201,No,77,428,35,112,0,0,0,23,20,0,89,28,0,0,48,44,1-Highest,Suburban,Professional,Yes
202,Yes,74,651,75,0,0,7,0,103,83,13,196,21,0,0,52,42,1-Highest,Other,Other,Unknown
203,Yes,28,73,20,22,0,0,0,1,4,0,6,14,0,0,50,62,1-Highest,Town,Crafts,Yes
204,No,38,147,30,8,0,3,0,45,1,0,16,11,0,0,48,48,1-Highest,Town,Professional,Unknown
205,No,20,3,21,0,0,0,0,0,0,0,3,1,0,0,54,56,4-Medium,Other,Other,Yes
206,No,93,1509,75,64,0,10,0,504,22,0,405,111,0,20,50,38,1-Highest,Rural,Professional,Yes
207,Yes,124,411,75,0,26,1,1,86,24,6,110,14,0,1,50,47,1-Highest,Suburban,Other,Unknown
208,Yes,96,1852,75,44,1,26,0,480,39,3,753,108,0,22,52,50,1-Highest,Town,Other,Yes
209,No,48,482,45,34,0,4,0,110,12,2,78,70,0,0,50,52,4-Medium,Other,Other,Yes
210,No,187,1363,75,306,4,25,1,262,93,11,365,143,0,7,52,50,6-VeryLow,Suburban,Other,Unknown
211,Yes,48,45,47,0,0,0,0,0,0,0,6,0,0,0,48,50,1-Highest,Suburban,Other,No
212,Yes,5,0,5,0,0,0,0,0,0,0,0,0,0,0,52,56,1-Highest,Suburban,Other,Unknown
213,No,98,930,105,0,0,22,1,359,61,4,336,107,0,7,52,70,1-Highest,Other,Retired,Yes
214,No,110,2185,81,39,0,22,6,500,84,18,529,251,0,21,48,28,1-Highest,Suburban,Professional,No
215,No,45,289,45,30,0,2,0,92,21,17,135,17,0,2,52,44,1-Highest,Other,Self,Yes
216,No,37,430,37,0,0,4,0,14,5,0,26,20,0,0,54,50,1-Highest,Suburban,Self,Yes
217,No,87,1730,75,32,0,23,0,708,46,13,465,46,0,4,48,60,3-Good,Suburban,Other,Yes
218,No,106,752,60,182,0,10,0,175,28,9,205,38,0,0,48,54,1-Highest,Other,Other,Yes
219,Yes,25,0,25,0,0,0,0,0,0,0,0,0,0,0,48,60,1-Highest,Other,Other,Yes
220,No,76,577,85,1,0,9,0,126,16,8,166,65,0,6,52,46,1-Highest,Suburban,Other,Yes
221,Yes,74,750,22,85,0,2,0,128,24,20,82,44,0,0,50,36,4-Medium,Suburban,Other,No
222,No,92,608,50,1,0,8,0,84,15,1,132,72,0,0,50,62,4-Medium,Suburban,Other,Unknown
223,No,83,879,97,5,0,11,0,295,34,21,255,45,0,7,54,48,1-Highest,Town,Professional,Yes
224,Yes,74,692,71,0,0,17,0,97,17,0,203,17,0,0,50,80,3-Good,Suburban,Other,No
225,No,167,1790,160,0,0,11,0,186,41,0,422,114,0,6,54,20,1-Highest,Other,Other,Unknown
226,No,30,188,30,0,0,7,0,12,15,1,63,36,0,0,48,54,1-Highest,Suburban,Other,Yes
227,Yes,30,47,30,0,0,0,0,6,3,0,24,1,0,0,52,42,6-VeryLow,Other,Other,Unknown
228,No,99,1514,80,0,0,20,0,540,156,20,438,119,0,11,50,48,1-Highest,Suburban,Professional,Yes
229,Yes,25,44,20,12,0,2,0,3,3,0,19,3,0,0,50,42,1-Highest,Suburban,Other,No
230,No,75,938,95,0,0,8,0,245,92,5,249,35,0,4,48,56,1-Highest,Suburban,Other,Yes
231,Yes,55,403,50,0,1,15,0,221,21,1,152,29,0,1,54,52,1-Highest,Suburban,Other,Yes
232,Yes,7,3,10,0,0,0,0,0,0,0,0,0,0,0,52,38,1-Highest,Town,Other,Yes
233,Yes,191,1764,110,215,0,0,0,0,0,0,0,0,0,0,54,36,1-Highest,Suburban,Professional,Yes
234,No,37,114,32,13,0,2,0,7,7,1,23,10,0,0,48,50,1-Highest,Other,Other,Yes
235,Yes,64,479,50,139,0,0,1,107,14,4,81,29,0,1,47,58,1-Highest,Suburban,Professional,Yes
236,Yes,17,3,17,0,0,0,0,0,0,0,1,0,0,0,47,56,1-Highest,Suburban,Other,Yes
237,No,124,2955,82,421,0,23,0,1084,126,43,1116,197,0,69,52,32,1-Highest,Suburban,Other,Unknown
238,No,80,1245,68,73,0,0,0,0,0,0,0,0,0,0,50,40,3-Good,Other,Professional,Yes
239,No,100,820,85,0,17,8,0,273,22,0,194,38,0,1,47,46,1-Highest,Other,Professional,Yes
240,No,99,1058,75,0,0,10,0,324,43,0,214,26,0,4,47,35,1-Highest,Other,Other,Unknown
241,No,61,134,70,0,0,1,0,8,5,1,21,18,0,0,47,36,1-Highest,Other,Other,Unknown
242,No,147,3280,80,546,0,12,4,1034,112,21,868,434,0,59,53,40,1-Highest,Other,Other,Unknown
243,No,38,227,45,4,0,1,0,64,11,0,66,6,0,0,53,30,1-Highest,Town,Professional,Yes
244,Yes,70,369,50,0,3,4,0,56,21,10,101,42,0,2,47,39,1-Highest,Other,Other,Unknown
245,Yes,43,409,42,16,0,6,0,95,40,14,117,45,0,2,47,48,1-Highest,Suburban,Other,Yes
246,No,74,817,36,98,7,14,5,156,38,3,163,46,0,0,51,42,3-Good,Rural,Professional,Yes
247,Yes,45,542,35,32,0,2,0,100,10,0,31,39,0,0,47,34,4-Medium,Suburban,Other,No
248,No,203,2845,75,1083,0,34,0,616,263,60,480,269,0,15,53,34,1-Highest,Other,Other,Yes
249,No,97,482,115,20,0,3,0,66,47,15,150,62,0,1,51,42,7-Lowest,Suburban,Other,Unknown
250,No,88,631,95,0,0,4,0,143,52,0,177,63,0,1,53,42,1-Highest,Suburban,Professional,No
251,No,103,1526,76,0,0,21,0,331,74,18,479,41,0,3,53,38,1-Highest,Suburban,Other,Unknown
252,Yes,61,674,55,30,0,2,0,126,14,0,135,95,0,3,47,28,1-Highest,Suburban,Other,Yes
